id_host_anon,id_listing_anon,room_type,listing_neighborhood,listing_bookings,total_reviews,total_guests,total_interactions,average_booking_time_hrs,booking_rate
a14b5003-4328-47e2-951a-c7843454444d,7dc7508b-3178-46f4-a4fc-7b3234f9f918,Entire home/apt,-unknown-,7.0,168.0,27.0,132,0.6260780423280422,0.5833333333333334
bae8dc1d-8a3f-4b3f-8061-9c5ffbe27f3b,8f60c359-961c-44ad-83bd-1033ab150a7f,Entire home/apt,Copacabana,0.0,162.0,6.0,26,,0.0
b61dd203-9963-4b6f-a0fa-47937ec1d594,b0b3ce3a-28d5-47ab-a554-60b67d22f950,Private room,Copacabana,2.0,42.0,5.0,29,0.24175925925925928,0.6666666666666666
bf77fa8d-9e0e-48af-b490-d5e5cf0f7dc7,cb7bf76e-917b-4c39-9377-f3d7b5525b76,Entire home/apt,-unknown-,0.0,0.0,67.0,34,,0.0
e7121aef-2105-4605-9fd4-0dc0a4dd8367,1f2502d3-8ff9-4575-8c2d-c3203176b597,Private room,Botafogo,1.0,18.0,3.0,17,0.023159722222222224,0.3333333333333333
339c3ed0-34b2-4035-8c3b-93e72db42c14,20391e9a-70fc-4f28-8055-0f1a7d73cb82,Private room,Barra da Tijuca,0.0,1.0,2.0,6,,0.0
0895c261-ec7e-48f3-9766-cafefe3e6b9f,5f615421-6060-403f-81b1-43f9e7d0e719,Entire home/apt,-unknown-,0.0,0.0,16.0,2,,0.0
172ca20f-a3d3-4d47-a48a-ab581a1594f3,15bc23f1-6f37-462f-8412-96b3367d4340,Entire home/apt,Copacabana,0.0,2.0,6.0,2,,0.0
f8b761d1-5cc8-45ce-95f3-d5826b52750c,64629818-e8a3-4d74-826d-4cad386c36ba,Entire home/apt,Tijuca,3.0,70.0,9.0,75,0.19562885802469135,0.6
324c9586-d698-45d8-87b9-840b960149d6,dff133e7-7028-4ab9-9456-89c087cf60aa,Entire home/apt,Copacabana,3.0,20.0,7.0,37,3.858024691358025e-06,0.75
a0947eb5-6c76-457f-a56f-c923c5a0a361,67cd7522-bf8b-4334-9663-5a4cc8225661,Private room,-unknown-,12.0,1392.0,28.0,187,0.040395447530864194,0.75
